epoch,mpe_mpe-large-spread-v2_ac_att_JAMMAS_1 - episode_return__MAX,mpe_mpe-large-spread-v2_ac_att_JAMMAS_2 - episode_return__MAX,mpe_mpe-large-spread-v2_ac_att_JAMMAS_3 - episode_return__MAX,mpe_mpe-large-spread-v2_ac_att_JAMMAS_4 - episode_return__MAX
604,-318.6,-261.7,-228.7,-158.5
605,-339.4,-237.5,-225,-172.9
606,-286.2,-253.4,-165.3,-172.6
607,-351.4,-275.4,-217.9,-198.1
608,-259.6,-261.7,-191.7,-180.9
609,-305.8,-288.3,-230.6,-167.6
610,-340.7,-233,-147.9,-167
611,-350.7,-254.4,-219,-166.1
612,-271.7,-231.1,-152.5,-168.8
613,-344.7,-259.4,-172.8,-144.1
614,-398.8,-293.2,-180.1,-163.5
615,-431.9,-236.7,-184.8,-175.8
616,-302.5,-307,-203.3,-152.3
617,-384.3,-215.5,-230.4,-172
618,-353.3,-299.2,-223.6,-157.5
619,-270.4,-251.8,-190.4,-170.9
620,-264.2,-250.6,-190.2,-144.6
621,-303.4,-201.1,-200.4,-155.8
