epoch,tj_easy_ac_att_JAMMAS_1 - episode_return__MAX,tj_easy_ac_att_JAMMAS_2 - episode_return__MAX,tj_easy_ac_att_JAMMAS_3 - episode_return__MAX,tj_easy_ac_att_JAMMAS_4 - episode_return__MAX,,,,,,,,,,,,,,,,,,
181,-23.2,-23.2,-23.2,-24,,,,,,,,,,,,,,,,,,
182,-19.2,-19.2,-19.2,-20.8,,,,,,,,,,,,,,,,,,
183,-22.4,-22.4,-22.4,-21.6,,,,,,,,,,,,,,,,,,
184,-32,-32,-32,-31.2,,,,,,,,,,,,,,,,,,
185,-19.2,-19.2,-19.2,-17.6,,,,,,,,,,,,,,,,,,
186,-20,-20,-20,-20,,,,,,,,,,,,,,,,,,
187,-21.6,-21.6,-21.6,-23.2,,,,,,,,,,,,,,,,,,
188,-19.2,-19.2,-19.2,-20.8,,,,,,,,,,,,,,,,,,
189,-20.8,-20.8,-20.8,-21.6,,,,,,,,,,,,,,,,,,
190,-25.6,-25.6,-25.6,-23.2,,,,,,,,,,,,,,,,,,
191,-17.6,-17.6,-17.6,-18.4,,,,,,,,,,,,,,,,,,
192,-18.4,-18.4,-18.4,-19.2,,,,,,,,,,,,,,,,,,
193,-21.6,-21.6,-21.6,-20,,,,,,,,,,,,,,,,,,
194,-17.6,-17.6,-17.6,-17.6,,,,,,,,,,,,,,,,,,
195,-21.6,-21.6,-21.6,-22.4,,,,,,,,,,,,,,,,,,
196,-21.6,-21.6,-21.6,-21.6,,,,,,,,,,,,,,,,,,
197,-20,-20,-20,-19.2,,,,,,,,,,,,,,,,,,
198,-28,-28,-28,-28,,,,,,,,,,,,,,,,,,
199,-20,-20,-20,-19.2,,,,,,,,,,,,,,,,,,
200,-21.6,-21.6,-21.6,-20.8,,,,,,,,,,,,,,,,,,
201,-22.4,-22.4,-22.4,-24.8,,,,,,,,,,,,,,,,,,
202,-23.2,-23.2,-23.2,-23.2,,,,,,,,,,,,,,,,,,
203,-29.6,-29.6,-29.6,-30.4,,,,,,,,,,,,,,,,,,
204,-24.8,-24.8,-24.8,-24.8,,,,,,,,,,,,,,,,,,
205,-24.8,-24.8,-24.8,-23.2,,,,,,,,,,,,,,,,,,
206,-21.6,-21.6,-21.6,-20.8,,,,,,,,,,,,,,,,,,
207,-20.8,-20.8,-20.8,-20,,,,,,,,,,,,,,,,,,
208,-17.6,-17.6,-17.6,-17.6,,,,,,,,,,,,,,,,,,
209,-25.6,-24.8,-25.6,-26.4,,,,,,,,,,,,,,,,,,
210,-20.8,-20.8,-20.8,-20.8,,,,,,,,,,,,,,,,,,
211,-24.8,-24.8,-24.8,-24.8,,,,,,,,,,,,,,,,,,
212,-23.2,-23.2,-23.2,-24,,,,,,,,,,,,,,,,,,
213,-24.8,-24.8,-24.8,-23.2,,,,,,,,,,,,,,,,,,
214,-16.8,-16.8,-16.8,-18.4,,,,,,,,,,,,,,,,,,
215,-20,-20,-20,-20.8,,,,,,,,,,,,,,,,,,
216,-24.8,-24.8,-24.8,-24,,,,,,,,,,,,,,,,,,
217,-19.2,-19.2,-19.2,-19.2,,,,,,,,,,,,,,,,,,
218,-22.4,-22.4,-22.4,-22.4,,,,,,,,,,,,,,,,,,
219,-20,-20,-20,-20.8,,,,,,,,,,,,,,,,,,
220,-15.2,-15.2,-15.2,-13.6,,,,,,,,,,,,,,,,,,
221,-23.2,-23.2,-23.2,-23.2,,,,,,,,,,,,,,,,,,
222,-24.8,-24.8,-24.8,-23.2,,,,,,,,,,,,,,,,,,
223,-24,-24,-24,-20.8,,,,,,,,,,,,,,,,,,
224,-20,-20,-20,-20.8,,,,,,,,,,,,,,,,,,
225,-25.6,-25.6,-25.6,-24,,,,,,,,,,,,,,,,,,
226,-24.8,-24.8,-24.8,-24,,,,,,,,,,,,,,,,,,
227,-22.4,-22.4,-22.4,-23.2,,,,,,,,,,,,,,,,,,
228,-28,-28,-28,-28.8,,,,,,,,,,,,,,,,,,
229,-21.6,-21.6,-21.6,-20,,,,,,,,,,,,,,,,,,
230,-19.2,-19.2,-19.2,-20,,,,,,,,,,,,,,,,,,
231,-24,-24,-24,-23.2,,,,,,,,,,,,,,,,,,
232,-12,-12,-12,-12,,,,,,,,,,,,,,,,,,
233,-20,-20,-20,-28,,,,,,,,,,,,,,,,,,
234,-23.2,-23.2,-23.2,-21.6,,,,,,,,,,,,,,,,,,
235,-23.2,-23.2,-23.2,-22.4,,,,,,,,,,,,,,,,,,
236,-16.8,-16.8,-16.8,-17.6,,,,,,,,,,,,,,,,,,
237,-18.4,-18.4,-18.4,-19.2,,,,,,,,,,,,,,,,,,
238,-24,-24,-24,-22.4,,,,,,,,,,,,,,,,,,
239,-16,-16,-16,-16.8,,,,,,,,,,,,,,,,,,
240,-19.2,-19.2,-19.2,-18.4,,,,,,,,,,,,,,,,,,
241,-23.2,-23.2,-23.2,-25.6,,,,,,,,,,,,,,,,,,
242,-23.2,-23.2,-23.2,-20.8,,,,,,,,,,,,,,,,,,
243,-27.2,-27.2,-27.2,-27.2,,,,,,,,,,,,,,,,,,
244,-18.4,-18.4,-18.4,-19.2,,,,,,,,,,,,,,,,,,
245,-19.2,-19.2,-19.2,-17.6,,,,,,,,,,,,,,,,,,
246,-21.6,-21.6,-21.6,-24,,,,,,,,,,,,,,,,,,
247,-18.4,-18.4,-18.4,-17.6,,,,,,,,,,,,,,,,,,
248,-20.8,-20.8,-20.8,-20.8,,,,,,,,,,,,,,,,,,
249,-24,-24,-24,-24,,,,,,,,,,,,,,,,,,
250,-20.8,-20.8,-20.8,-20,,,,,,,,,,,,,,,,,,
251,-20.8,-20.8,-20.8,-21.6,,,,,,,,,,,,,,,,,,
252,-22.4,-22.4,-22.4,-21.6,,,,,,,,,,,,,,,,,,
253,-20,-20,-20,-20,,,,,,,,,,,,,,,,,,
254,-20.8,-20.8,-20.8,-20.8,,,,,,,,,,,,,,,,,,
255,-18.4,-18.4,-18.4,-20.8,,,,,,,,,,,,,,,,,,
256,-20.8,-20.8,-20.8,-21.6,,,,,,,,,,,,,,,,,,
257,-24,-24,-24,-17.6,,,,,,,,,,,,,,,,,,
258,-21.6,-21.6,-21.6,-14.4,,,,,,,,,,,,,,,,,,
