epoch,mpe_mpe-large-spread-v1_ac_att_noise_JAMMAS_1 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_1 - episode_return
701,-243.2,-332.5
702,-268.9,-185
703,-276.1,-203.4
704,-267.1,-272.3
705,-261.5,-240
706,-257.9,-270.2
707,-247.4,-193.2
708,-226.1,-196.8
709,-255.5,-242.1
710,-241.9,-251.6
711,-252.7,-251.5
712,-211,-218.6
713,-220.5,-154.5
714,-244.6,-179.5
715,-199.3,-218.9
716,-192.5,-169.4
717,-276.5,-249.6
718,-260.7,-230.8
719,-283.2,-214.1
720,-247.1,-203.5
721,-221.3,-192
722,-241.4,-220.5
723,-257.7,-187.9
724,-224.8,-212.9
725,-242.8,-168.1
726,-276.5,-198.2
727,-231.4,-250.9
728,-227.5,-180
729,-229,-201
730,-228.9,-206.6
731,-248.2,-260.8
732,-211.5,-193.2
733,-242.4,-192.2
734,-244.1,-179.8
735,-279.3,-206.5
736,-244.1,-229.5
737,-293.6,-214.4
738,-247.7,-186.4
739,-221.5,-191.8
740,-246.8,-216.2
741,-224.8,-200.8
742,-222,-258.3
743,-278.9,-196.6
744,-293.8,-199.5
745,-254.8,-210.3
746,-276,-237.4
747,-173.6,-180.2
748,-273.2,-184
749,-269.2,-171.6
750,-233.9,-188.1
751,-308.7,-233.9
752,-234.3,-195.8
753,-300.3,-225.8
754,-267.3,-191.7
755,-310.7,-183.6
756,-270.5,-223.2
757,-231.2,-200.1
758,-265,-187.8
759,-202.6,-192.5
760,-243.9,-179.4
761,-208.5,-187.9
762,-260.2,-175.5
763,-219.2,-188.7
764,-279.3,-232.4
765,-257.9,-195.5
766,-254,-206.9
767,-231,-249.3
768,-237.1,-195.2
769,-301.5,-258.6
770,-244.1,-179.2
771,-244.7,-214.5
772,-268.1,-213.1
773,-288.5,-219.2
774,-263.9,-201.7
775,-262.8,-209
776,-222.6,-173.1
777,-279.5,-183.7
778,-231.3,-202.1
779,-236.9,-225
780,-245.2,-191
781,-217.8,-160.5
782,-256.1,-215.2
783,-196.5,-191.8
784,-281.2,-197
785,-242.9,-227.3
786,-334,-177.4
787,-271.6,-256.6
788,-246.3,-254.7
789,-263.8,-191.5
790,-301.1,-208
791,-267.7,-211
792,-256.7,-218
793,-259,-204.7
794,-239.6,-198.2
795,-243.6,-174.2
796,-275.9,-203.8
797,-207.1,-212.7
798,-260.2,-206.4
799,-239.1,-182.9
800,-295.3,-224.3
801,-240.4,-184.3
802,-259,-214.4
803,-205.3,-182.5
804,-212.4,-196.1
805,-239.6,-214.3
806,-216.6,-251
807,-232.4,-205
808,-268.2,-191.9
809,-240,-225.2
810,-215,-205.7
811,-225.6,-246
812,-258.5,-167
813,-197.8,-170.6
814,-254,-241.4
815,-319.4,-230.9
816,-260.3,-206.8
817,-220.3,-279
818,-198.3,-224.1
819,-248.8,-203
820,-220.1,-148.8
821,-277.8,-162.8
822,-220.1,-201.9
823,-252.7,-222.4
824,-236.1,-184.8
825,-338.2,-189.5
826,-256.8,-172.8
827,-211.2,-168.1
828,-279,-188
829,-206.4,-188.5
830,-244.6,-212.2
831,-265.9,-201.8
832,-293.8,-179.4
833,-289.5,-165.3
834,-222.5,-205.2
835,-289.2,-163
836,-200.5,-180.2
837,-271.5,-210
838,-275.9,-183.9
839,-280.9,-208.6
840,-211.6,-194.2
841,-266.6,-237.8
842,-252.8,-209.4
843,-263.5,-143.8
844,-236.4,-214.3
845,-246.7,-188.4
846,-257.4,-163.8
847,-224.4,-187.4
848,-239.7,-178.9
849,-279.8,-184
850,-281.2,-221.9
851,-281.6,-207.1
852,-242,-172.6
853,-267.3,-202.9
854,-203.7,-208
855,-245.9,-192.8
856,-272.6,-212.6
857,-228.8,-178
858,-241,-179.1
859,-263.7,-205.5
860,-253.5,-190.3
861,-218.9,-167.7
862,-223.5,-221.6
863,-217.6,-169
864,-235.4,-224.3
865,-234.3,-218.8
866,-239.8,-229.9
867,-307.2,-210.5
868,-209.3,-194.4
869,-224.1,-222.2
870,-295.8,-212.7
871,-257.3,-165.4
872,-212.5,-210.3
873,-241.3,-199
874,-251.1,-206.3
875,-269.8,-242.8
876,-253.2,-243.4
877,-263.7,-225.4
878,-225.6,-160.3
879,-227.8,-185.8
880,-209.4,-196.9
881,-235.3,-175.1
882,-227.8,-234.8
883,-308.8,-201.2
884,-241.2,-179.7
885,-207.8,-209.9
886,-252.6,-214.4
887,-234.2,-207.9
888,-300.5,-215
889,-223.7,-185.1
890,-249.6,-175.1
891,-259.1,-196.5
892,-246.1,-182.7
893,-251.5,-184.6
894,-228.7,-199.3
895,-255.1,-178
896,-184.6,-214.9
897,-275.6,-227
898,-271.1,-184.1
899,-236.8,-200.2
900,-253.3,-225.1
901,-305.8,-201.6
902,-280.5,-246.9
903,-226.4,-200.4
904,-297.7,-229.3
905,-236,-212.8
906,-195.3,-161
907,-236.7,-190.3
908,-264.8,-166
909,-293.1,-238.6
910,-246.1,-207.5
911,-219.9,-181.2
912,-204.2,-229.4
913,-214.7,-237.4
914,-220.9,-196.3
915,-252.5,-207.6
916,-252.6,-226.6
917,-260.7,-164.3
918,-251.5,-275.3
919,-213.2,-148.8
920,-223.4,-150.6
921,-259.3,-226.9
922,-232.9,-205.8
923,-291.7,-200.7
924,-252.9,-161.3
925,-298,-232.9
926,-285.9,-184.2
927,-253.6,-182.8
928,-292.8,-238.8
929,-300.5,-244.2
930,-311.4,-182.7
931,-250.8,-192.6
932,-229.9,-145.5
933,-206.9,-187.1
934,-196.5,-197.7
935,-289.3,-197.9
936,-253,-216.3
937,-217.2,-190.5
938,-281.7,-193.7
939,-216.2,-186.8
940,-232.3,-196.1
941,-318.5,-213.5
942,-239.1,-169.3
943,-184.6,-184.3
944,-240,-182
945,-259,-265.1
946,-268,-216.6
947,-243.8,-243.2
948,-201.2,-169.9
949,-279.2,-193.1
950,-238.5,-170.6
951,-206.2,-190.3
952,-318.3,-158.5
953,-267.4,-223.8
954,-253.1,-213.7
955,-213.8,-207.1
956,-258.2,-200.7
957,-275.2,-214.6
958,-252.4,-324.7
959,-245,-247.3
960,-318,-242.9
961,-248.3,-180.5
962,-250.5,-179.1
963,-274,-184.2
964,-248.4,-179.1
965,-298.5,-222.2
966,-252.1,-183.7
967,-232.7,-182.5
968,-258.4,-221.6
969,-265.3,-186
970,-270.2,-175
971,-234,-209.7
972,-222.2,-193.8
973,-243.8,-163.2
974,-277.1,-224.7
975,-241.3,-185.3
976,-226.7,-167.5
977,-229.8,-215.5
978,-249.3,-217
979,-212.6,-166.2
980,-315.3,-172.4
981,-265,-179
982,-251.4,-179.2
983,-235.4,-202.2
984,-197.5,-181.9
985,-229.9,-222.2
986,-234.2,-206.1
987,-232.3,-166.9
988,-244.1,-206.5
989,-252.3,-254.9
990,-264.4,-192.5
991,-247.2,-209.6
992,-221.9,-220.8
993,-272.4,-182.6
994,-269.1,-193.8
995,-238.5,-159.4
996,-224.3,-183
997,-232.5,-177.2
998,-293.7,-203.8
999,-210.6,-171.7
1000,-240,-177.8
1001,-207.7,-207.3
1002,-252.5,-210.2
1003,-245.6,-217.7
1004,-193.1,-206.4
1005,-246.3,-183.7
1006,-253.8,-170.5
1007,-239.5,-182.9
1008,-261.9,-160.4
1009,-248.8,-169.7
1010,-244.9,-181.9
1011,-216.5,-217.4
1012,-283,-170.7
1013,-266.6,-174.1
1014,-217.3,-176.1
1015,-231.4,-203.8
1016,-211.6,-215.1
1017,-224.3,-195.2
1018,-251.6,-166.7
1019,-259,-173
1020,-238.1,-177.4
1021,-265.9,-173.8
1022,-261.5,-191.6
1023,-185.1,-193.9
1024,-241.9,-188.9
1025,-241.8,-195.8
1026,-216.7,-186.9
1027,-235.8,-204.5
1028,-215.9,-140.1
1029,-217.8,-179.7
1030,-254.6,-195
1031,-244.7,-190.6
1032,-194,-180
1033,-248.3,-219.5
1034,-263.1,-183.1
1035,-255.4,-134.7
1036,-236.6,-220
1037,-248.1,-231.6
1038,-210.4,-216.5
1039,-253.7,-178.3
1040,-220.1,-221.1
1041,-194.7,-216.7
1042,-234.9,-210.5
1043,-241.2,-172.7
1044,-270.3,-233.8
1045,-243.8,-209.1
1046,-248.3,-192.1
1047,-238.7,-227.2
1048,-200.6,-182.1
1049,-213.5,-192.9
1050,-216.7,-247.1
1051,-245.9,-194.6
1052,-242.1,-209.1
1053,-198.7,-177.1
1054,-268.5,-205.4
1055,-221,-198.1
1056,-227.6,-161.4
1057,-254.9,-159.1
1058,-204,-171.3
1059,-226.5,-204.1
1060,-232.8,-190
1061,-172.4,-191.3
1062,-257.2,-154.1
1063,-243.1,-175.7
1064,-238.2,-185.9
1065,-250.6,-159.9
1066,-252.9,-185.6
1067,-210.9,-196.9
1068,-232.5,-168.9
1069,-219.2,-174.8
1070,-201.4,-189.4
1071,-212.3,-203.7
1072,-226.3,-191.8
1073,-204.5,-159.1
1074,-235.4,-160.5
1075,-204.2,-191.5
1076,-224.3,-184.9
1077,-222.7,-203.8
1078,-219.2,-156.7
1079,-194.8,-212.8
1080,-224.5,-196
1081,-227.9,-153.8
1082,-246.2,-152.5
1083,-223.4,-203.3
1084,-244.6,-167.7
1085,-231.5,-182.6
1086,-201.5,-149.8
1087,-214.3,-191
1088,-214.7,-189.6
1089,-220,-152.4
1090,-240.4,-181.8
1091,-227.2,-153.7
1092,-223.5,-208.3
1093,-180.9,-167.8
1094,-245,-211.3
1095,-236.2,-210.4
1096,-195.5,-167.9
1097,-250.7,-184.5
1098,-195.1,-174.2
1099,-212,-180.2
1100,-226.6,-176.5
1101,-217.8,-207.7
1102,-208.4,-161.9
1103,-239.6,-184.1
1104,-266.7,-170.2
1105,-205.8,-155.2
1106,-212.5,-186.4
1107,-210.1,-177.3
1108,-192.4,-186.1
1109,-218.3,-169
1110,-220.8,-232.5
1111,-199.9,-164.4
1112,-253.1,-217.1
1113,-187.1,-206.7
1114,-251.6,-205.6
1115,-240.4,-209.1
1116,-219.3,-161.6
1117,-185.1,-238.8
1118,-252.9,-175.7
1119,-210.8,-189.1
1120,-215.1,-165.4
1121,-238.5,-155.6
1122,-264.9,-203.1
1123,-244.7,-196
1124,-218.6,-140.6
1125,-217.6,-207
1126,-207.6,-204.5
1127,-217,-187.8
1128,-207.1,-188.2
1129,-238.3,-204.4
1130,-198,-216.3
1131,-202.9,-199.3
1132,-231.3,-204.1
1133,-260.9,-146.7
1134,-232.6,-161.5
1135,-227.1,-177
1136,-193.9,-166
1137,-265.9,-164
1138,-226.5,-134
1139,-218.2,-154.9
1140,-256,-209
1141,-236.2,-152
1142,-208.2,-198.1
1143,-185.7,-206.9
1144,-206.1,-176.2
1145,-208.6,-176.2
1146,-209.9,-186.4
1147,-236.7,-170.5
1148,-202.8,-186.2
1149,-231.9,-174
1150,-202.8,-139.8
1151,-228.3,-136.1
1152,-190.6,-202.8
1153,-215.5,-192.1
1154,-209.7,-162.8
1155,-213.8,-171.3
1156,-227.1,-214.1
1157,-208.2,-161.8
1158,-233.5,-183.8
1159,-239.5,-183.9
