epoch,mpe_mpe-large-spread-v1_ac_att_JAMMAS_1 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_2 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_3 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_4 - episode_return
517,-218.3,-150.9,-154.4,-132.8
518,-210.9,-167.4,-131.5,-162.2
519,-159,-147.2,-147.1,-119.2
520,-196.5,-152.2,-151.6,-134.5
521,-264.7,-144.4,-143.5,-148.7
522,-189.4,-158.4,-164.1,-142.2
523,-201.2,-135.2,-159.5,-149.3
524,-255.2,-149.2,-133.4,-146.1
525,-292.4,-144.7,-165.1,-149.4
526,-188.9,-147.1,-162.3,-145.3
527,-204.6,-167.9,-166.2,-194.7
528,-184.2,-150.7,-151.2,-135.1
529,-212,-124.1,-144.4,-201.9
530,-205.3,-114.1,-146.2,-156.5
531,-199.8,-154,-150.8,-111.7
532,-294.2,-172.3,-162.9,-140.7
533,-241.9,-134,-136.6,-144.8
534,-241.9,-124,-131.1,-167.8
535,-240.9,-123.7,-128.3,-120.7
536,-172.3,-146.2,-157.1,-179.3
537,-207.4,-142.8,-154.2,-162.9
538,-263.7,-136.3,-127.3,-135.9
539,-242.8,-137.9,-151.5,-145.9
540,-227.7,-148.9,-115.1,-131
541,-231.3,-145.7,-162.3,-142
542,-278.8,-139.5,-178.7,-150.2
543,-193.3,-130,-153.2,-139.7
544,-165.6,-159,-178.4,-137.5
545,-237.8,-147.5,-133.4,-146.3
546,-245.2,-145.5,-161.9,-154.1
547,-213.5,-154.7,-152.5,-128.9
548,-227,-151.5,-133.8,-136
549,-207.6,-167.2,-174.2,-146.6
550,-198.1,-145.4,-148.1,-131.7
551,-216.2,-180.8,-152.3,-156
552,-180.8,-146.5,-150.2,-132.1
553,-215.4,-143.1,-145.6,-129.4
554,-190.1,-136.9,-158.2,-145.5
555,-215.9,-154.5,-168.9,-136.9
556,-198.2,-164.9,-133.7,-159.5
557,-191.6,-157.5,-118.1,-117.9
558,-227.4,-132.1,-122.7,-147.8
559,-202.2,-157.5,-135,-142.1
560,-202.6,-148,-157,-138
561,-201.7,-146.7,-147.8,-132.7
562,-268.3,-132.5,-146.4,-175
563,-206.6,-117,-142.5,-124.6
564,-251.6,-152.1,-129.6,-140.7
565,-254,-144.5,-149,-140.8
566,-240,-138.2,-126,-153.9
567,-179.1,-139.1,-131.4,-138.7
568,-260.3,-131.4,-149.7,-151.4
569,-187.1,-121.9,-145.4,-148.4
570,-211.7,-134.3,-151.4,-123.3
571,-211.1,-130.6,-151.4,-166.7
572,-195,-152.3,-124.1,-152.2
573,-240.8,-126.8,-146.1,-136.6
574,-200.6,-143.2,-154.1,-128.8
575,-197.5,-138.5,-159.6,-129.1
576,-180.9,-154,-141,-120.2
577,-206.2,-144.1,-153.8,-123.8
578,-248.1,-134.6,-141.8,-132.3
579,-198.3,-137.2,-144.7,-149
580,-290.6,-153.7,-129,-123.3
581,-243.5,-107.4,-125.5,-120.8
582,-212.8,-113.9,-131.3,-173.5
583,-223.6,-133.1,-139,-119.3
584,-185.4,-135.8,-189.6,-121.5
585,-205.6,-152.5,-147.7,-133.4
586,-238.7,-135.6,-149.6,-131.2
587,-230.9,-149.3,-162.1,-145.1
588,-259,-165.9,-153.3,-130.9
589,-231.4,-156.8,-143.2,-128.1
590,-309.8,-135.4,-132,-136.8
591,-200.2,-154.3,-119.3,-129.9
592,-198.2,-140.1,-141.8,-155
593,-234.9,-126.9,-140.4,-154.6
594,-279.5,-140.5,-145.9,-164.2
595,-203.6,-146.6,-181.5,-112.8
596,-216.4,-127.3,-149.3,-171.3
597,-221.3,-131.6,-117.8,-144.5
598,-238.9,-133.6,-144.2,-170.3
599,-207.9,-135.2,-143.5,-162.8
600,-229.7,-134.8,-141.6,-152.6
601,-175.4,-131.4,-157.7,-130
602,-200.3,-161,-118.3,-126.7
603,-192.1,-130.1,-142.1,-124.8
604,-217.9,-164.2,-144.3,-133.6
605,-249.3,-136,-140.9,-123.2
606,-210.1,-118.2,-137,-152.6
607,-262,-154.6,-139.1,-136
608,-223.6,-119.4,-123.8,-137.4
